ID,Label,Weight
甄士隐,甄士隐,11
贾雨村,贾雨村,21
封氏,封氏,2
神瑛侍者,神瑛侍者,7
严老爷,严老爷,1
霍启,霍启,2
冷子兴,冷子兴,9
林如海,林如海,11
黛玉,黛玉,1376
贾代化,贾代化,2
贾敷,贾敷,1
贾敬,贾敬,10
贾珍,贾珍,284
贾蓉,贾蓉,176
贾政,贾政,433
贾珠,贾珠,6
宝玉,宝玉,3862
贾迎春,贾迎春,143
贾探春,贾探春,432
贾惜春,贾惜春,151
贾敏,贾敏,1
贾琏,贾琏,679
贾母,贾母,2301
凤姐,凤姐,1131
王夫人,王夫人,1011
邢夫人,邢夫人,284
贾源,贾源,2
王嬷嬷,王嬷嬷,3
雪雁,雪雁,105
李嬷嬷,李嬷嬷,37
薛蟠,薛蟠,237
王子腾,王子腾,25
贾兰,贾兰,61
李守中,李守中,2
冯渊,冯渊,6
宝钗,宝钗,884
薛姨妈,薛姨妈,453
秦可卿,秦可卿,64
刘氏,刘氏,5
周瑞,周瑞,33
秦钟,秦钟,73
金钏,金钏,9
司棋,司棋,60
丰儿,丰儿,37
尤氏,尤氏,267
赖二,赖二,1
詹光,詹光,9
单聘仁,单聘仁,3
吴新登,吴新登,13
戴良,戴良,2
钱华,钱华,1
紫鹃,紫鹃,406
贾代儒,贾代儒,4
李贵,李贵,29
贾瑞,贾瑞,48
贾蔷,贾蔷,17
贾菌,贾菌,11
墨雨,墨雨,7
胡氏,胡氏,1
贾璜,贾璜,3
金氏,金氏,5
冯紫英,冯紫英,58
贾敕,贾敕,1
贾效,贾效,1
贾敦,贾敦,1
贾琮,贾琮,6
贾珩,贾珩,2
贾琛,贾琛,2
贾琼,贾琼,4
贾菱,贾菱,4
贾芸,贾芸,140
贾芹,贾芹,33
贾蓁,贾蓁,1
贾萍,贾萍,2
贾藻,贾藻,1
贾蘅,贾蘅,1
贾芬,贾芬,1
贾芳,贾芳,1
贾芝,贾芝,2
宝珠,宝珠,6
戴权,戴权,6
王仁,王仁,28
牛继宗,牛继宗,1
柳彪,柳彪,1
蒋子宁,蒋子宁,1
谢鲸,谢鲸,1
戚建辉,戚建辉,1
陈也俊,陈也俊,1
卫若兰,卫若兰,1
水溶,水溶,16
智善,智善,2
胡老爷,胡老爷,2
金哥,金哥,2
李公子,李公子,1
云光,云光,1
贾元春,贾元春,3
夏守忠,夏守忠,4
赵嬷嬷,赵嬷嬷,13
卜固修,卜固修,1
山子野,山子野,2
赖大,赖大,30
林之孝,林之孝,143
程日兴,程日兴,9
妙玉,妙玉,123
贾环,贾环,116
秋纹,秋纹,57
史湘云,史湘云,82
赵姨娘,赵姨娘,132
李纨,李纨,17
周氏,周氏,1
卜世仁,卜世仁,8
倪二,倪二,30
绮霰,绮霰,1
方椿,方椿,1
檀云,檀云,2
小红,小红,18
马道婆,马道婆,25
周姨娘,周姨娘,11
冯唐,冯唐,1
蒋玉菡,蒋玉菡,29
双瑞,双瑞,1
双寿,双寿,1
云儿,云儿,13
文杏,文杏,2
翠墨,翠墨,14
巧姐儿,巧姐儿,52
张道士,张道士,24
宝官,宝官,4
玉官,玉官,2
王济仁,王济仁,2
玉钏,玉钏,5
傅秋芳,傅秋芳,4
宋嬷嬷,宋嬷嬷,7
金文翔,金文翔,5
柳湘莲,柳湘莲,22
赖尚荣,赖尚荣,12
李纹,李纹,19
薛宝琴,薛宝琴,3
梅翰林,梅翰林,4
邢岫烟,邢岫烟,21
李婶娘,李婶娘,15
王荣,王荣,2
张若锦,张若锦,2
赵亦华,赵亦华,2
钱启,钱启,3
乌进孝,乌进孝,9
娄氏,娄氏,3
单大良,单大良,2
赵国基,赵国基,2
叶妈,叶妈,3
祝妈,祝妈,1
邢忠,邢忠,1
艾官,艾官,4
春燕,春燕,12
夏婆子,夏婆子,7
柳五儿,柳五儿,3
钱槐,钱槐,1
佩凤,佩凤,15
尤二姐,尤二姐,91
尤三姐,尤三姐,35
尤老娘,尤老娘,16
俞禄,俞禄,11
张华,张华,33
隆儿,隆儿,5
寿儿,寿儿,1
王信,王信,4
秋桐,秋桐,26
胡君荣,胡君荣,6
朱大娘,朱大娘,2
小霞,小霞,1
小鹊,小鹊,3
翠云,翠云,1
张妈,张妈,2
潘又安,潘又安,2
邢德全,邢德全,5
孙绍祖,孙绍祖,7
夏金桂,夏金桂,3
小舍儿,小舍儿,3
王一贴,王一贴,16
甄宝玉,甄宝玉,36
