Source,Target,Weight
甄士隐,贾雨村,7
甄士隐,封氏,1
甄士隐,贾琏,6
甄士隐,冯紫英,12
甄士隐,林如海,2
甄士隐,贾母,2
贾雨村,甄士隐,7
贾雨村,严老爷,1
贾雨村,黛玉,29
贾雨村,王夫人,12
贾雨村,薛蟠,1
贾雨村,薛姨妈,2
贾雨村,贾母,25
贾雨村,秦钟,3
贾雨村,宝玉,31
贾雨村,贾琏,6
贾雨村,王子腾,2
贾雨村,林如海,2
贾雨村,史湘云,9
贾雨村,宝钗,5
贾雨村,凤姐,4
贾雨村,邢夫人,2
贾雨村,紫鹃,1
贾雨村,冯紫英,6
贾雨村,贾政,1
贾雨村,妙玉,2
贾雨村,贾环,2
封氏,甄士隐,1
封氏,霍启,2
神瑛侍者,黛玉,11
神瑛侍者,宝玉,95
神瑛侍者,尤三姐,8
神瑛侍者,凤姐,12
神瑛侍者,贾蓉,4
神瑛侍者,秦可卿,8
神瑛侍者,贾迎春,4
严老爷,贾雨村,1
霍启,封氏,2
冷子兴,林如海,1
冷子兴,贾政,1
冷子兴,黛玉,9
冷子兴,贾母,3
冷子兴,宝玉,7
冷子兴,宝钗,1
冷子兴,周瑞,2
冷子兴,凤姐,5
冷子兴,王夫人,4
冷子兴,贾芸,6
冷子兴,倪二,1
林如海,黛玉,17
林如海,冷子兴,1
林如海,贾政,1
林如海,贾母,9
林如海,王夫人,7
林如海,贾迎春,2
林如海,贾探春,1
林如海,宝玉,5
林如海,贾琏,7
林如海,秦钟,3
林如海,贾雨村,2
林如海,王子腾,1
林如海,冯紫英,6
林如海,甄士隐,2
黛玉,林如海,17
黛玉,贾雨村,29
黛玉,贾母,2361
黛玉,冷子兴,9
黛玉,凤姐,635
黛玉,贾琏,94
黛玉,邢夫人,136
黛玉,王夫人,666
黛玉,贾源,2
黛玉,贾迎春,148
黛玉,贾探春,651
黛玉,宝玉,5946
黛玉,王嬷嬷,9
黛玉,雪雁,682
黛玉,李嬷嬷,29
黛玉,薛蟠,16
黛玉,王子腾,23
黛玉,薛姨妈,389
黛玉,宝钗,1700
黛玉,贾政,69
黛玉,贾珍,27
黛玉,贾惜春,148
黛玉,司棋,12
黛玉,周瑞,5
黛玉,秦钟,28
黛玉,尤氏,44
黛玉,紫鹃,2209
黛玉,李贵,2
黛玉,秦可卿,6
黛玉,贾代儒,2
黛玉,贾敕,1
黛玉,贾效,1
黛玉,贾敦,1
黛玉,贾琮,3
黛玉,贾珩,1
黛玉,贾琛,2
黛玉,贾琼,3
黛玉,贾蔷,2
黛玉,贾菱,2
黛玉,贾芸,24
黛玉,贾芹,2
黛玉,贾蓁,1
黛玉,贾萍,1
黛玉,贾藻,1
黛玉,贾蘅,1
黛玉,贾芬,1
黛玉,贾芳,1
黛玉,贾兰,16
黛玉,贾菌,2
黛玉,贾芝,1
黛玉,秋纹,62
黛玉,贾环,25
黛玉,史湘云,207
黛玉,李纨,48
黛玉,小红,7
黛玉,马道婆,30
黛玉,赵姨娘,23
黛玉,周姨娘,15
黛玉,丰儿,8
黛玉,文杏,2
黛玉,翠墨,27
黛玉,金钏,3
黛玉,巧姐儿,8
黛玉,云儿,3
黛玉,冯紫英,3
黛玉,张道士,29
黛玉,蒋玉菡,7
黛玉,吴新登,6
黛玉,妙玉,111
黛玉,程日兴,1
黛玉,金文翔,2
黛玉,王仁,5
黛玉,李纹,28
黛玉,薛宝琴,7
黛玉,梅翰林,2
黛玉,邢岫烟,34
黛玉,赖大,4
黛玉,贾蓉,10
黛玉,娄氏,1
黛玉,祝妈,1
黛玉,林之孝,107
黛玉,单大良,1
黛玉,宋嬷嬷,1
黛玉,艾官,1
黛玉,春燕,4
黛玉,隆儿,3
黛玉,尤二姐,14
黛玉,尤三姐,10
黛玉,翠云,1
黛玉,佩凤,1
黛玉,墨雨,58
黛玉,李婶娘,12
